Dataset,TF,IDF,Norm,Precision@10,Recall,MAP
MED,boolean,none,cosine,0.5633333333333332,0.26735677436164695,0.2304840726445868
MED,boolean,none,pivoted,0.5566666666666665,0.2659471180575628,0.21328996269424216
MED,boolean,none,byte,0.4366666666666667,0.20390937435964926,0.1340849975222615
MED,log_avg,standard,none,0.6366666666666667,0.30860753917500544,0.2558274766872992
MED,log_avg,standard,cosine,0.6366666666666667,0.311821239522264,0.260124617580294
MED,log_avg,standard,pivoted,0.6333333333333333,0.305521119421919,0.25462610597764695
MED,log_avg,standard,byte,0.5733333333333331,0.2747521327355161,0.21888173604992456
MED,log_avg,probabilistic,none,0.64,0.30984210707624,0.25593014298044164
MED,log_avg,probabilistic,cosine,0.6400000000000001,0.31340854110956556,0.2600207862264627
MED,log_avg,probabilistic,pivoted,0.6333333333333333,0.3076375215383212,0.2565512932732046
MED,log_avg,probabilistic,byte,0.57,0.2735616565450399,0.21706036646184798
MED,log_avg,none,none,0.5533333333333333,0.2667673804073104,0.22217647772179508
MED,log_avg,none,cosine,0.5866666666666666,0.28638244304748556,0.2506350591246685
MED,log_avg,none,pivoted,0.5566666666666668,0.2692772162504796,0.2229793548889407
MED,log_avg,none,byte,0.5200000000000001,0.24657111490569764,0.1859504986793478
MED,logarithmic,standard,none,0.63,0.308481542382342,0.25816236443531865
MED,logarithmic,standard,cosine,0.65,0.3195857318700897,0.2641433020760762
MED,logarithmic,standard,pivoted,0.63,0.308481542382342,0.2586760328332463
MED,logarithmic,standard,byte,0.5833333333333334,0.28150496326708224,0.2242710590514335
MED,logarithmic,probabilistic,none,0.6233333333333333,0.3037353410528073,0.2543388399463841
MED,logarithmic,probabilistic,cosine,0.6466666666666666,0.31655542883978666,0.2618308324132713
MED,logarithmic,probabilistic,pivoted,0.6333333333333333,0.30868039599786223,0.2596603116888215
MED,logarithmic,probabilistic,byte,0.5766666666666667,0.2770890088511278,0.2223642713611313
MED,logarithmic,none,none,0.5933333333333333,0.28511205666503014,0.2345266291298614
MED,logarithmic,none,cosine,0.6133333333333333,0.3009995389145814,0.2574645926807272
MED,logarithmic,none,pivoted,0.5766666666666665,0.27935811682775696,0.22870949807052973
MED,logarithmic,none,byte,0.5033333333333333,0.23809823154488322,0.1863949601071479
CISI,natural,standard,none,0.1892857142857143,0.07862912032322658,0.05151963596463681
CISI,natural,standard,cosine,0.14910714285714288,0.06725356390507704,0.03360466638630248
CISI,natural,standard,pivoted,0.19107142857142856,0.07848238714401412,0.052486054652604086
CISI,natural,standard,byte,0.13392857142857145,0.052773381665435624,0.03339153124678356
CISI,natural,probabilistic,none,0.18214285714285713,0.07704297279227768,0.05289379970098108
CISI,natural,probabilistic,cosine,0.13392857142857145,0.061365617924756456,0.034357641246540054
CISI,natural,probabilistic,pivoted,0.18482142857142855,0.07783742001878706,0.05311280560812567
CISI,natural,probabilistic,byte,0.13660714285714287,0.0544760527300315,0.03464269650545533
CISI,natural,none,none,0.12767857142857145,0.04313067837087846,0.026680933208839124
CISI,natural,none,cosine,0.07499999999999998,0.03049861254192226,0.018427852889999288
CISI,natural,none,pivoted,0.12767857142857145,0.04313067837087846,0.02665240841674525
CISI,natural,none,byte,0.08392857142857145,0.03311212846037268,0.011855310869650998
CISI,augmented,standard,none,0.15892857142857147,0.06815886796663564,0.030611554416868022
CISI,augmented,standard,cosine,0.16964285714285715,0.06479711852887159,0.035606124517929424
CISI,augmented,standard,pivoted,0.15803571428571428,0.05897138359305819,0.030018870165976732
CISI,augmented,standard,byte,0.09017857142857144,0.03490754352543751,0.017569352009964775
CISI,augmented,probabilistic,none,0.15625000000000003,0.06799921552218167,0.031930884568138536
CISI,augmented,probabilistic,cosine,0.1642857142857143,0.062204520363940516,0.03479577087614493
CISI,augmented,probabilistic,pivoted,0.15803571428571425,0.06091848181574662,0.03029625809687115
CISI,augmented,probabilistic,byte,0.09017857142857143,0.03453615255388366,0.01765881529236258
CISI,augmented,none,none,0.11875000000000001,0.043105616886838664,0.02496231418494262
CISI,augmented,none,cosine,0.11517857142857145,0.04395946271898315,0.02018481421222815
CISI,augmented,none,pivoted,0.13839285714285715,0.0455506489806921,0.027646603966784263
CISI,augmented,none,byte,0.0625,0.018894572158882073,0.0073121608321528074
CISI,boolean,standard,none,0.1455357142857143,0.051614214827082124,0.024088986819893944
CISI,boolean,standard,cosine,0.14732142857142858,0.05607108498171143,0.028293237094849124
CISI,boolean,standard,pivoted,0.14107142857142857,0.05105976379563815,0.023862131556343685
CISI,boolean,standard,byte,0.08482142857142858,0.03359285429296143,0.0151007441416829
CISI,boolean,probabilistic,none,0.1392857142857143,0.05042566169742519,0.023648856339257427
CISI,boolean,probabilistic,cosine,0.14285714285714285,0.054909295017909,0.02725922955749614
CISI,boolean,probabilistic,pivoted,0.13660714285714287,0.05038666372367646,0.023429860324165518
CISI,boolean,probabilistic,byte,0.08750000000000001,0.033915566479141034,0.015273702674858888
CISI,boolean,none,none,0.11696428571428573,0.03928875405868208,0.023220803452345003
CISI,boolean,none,cosine,0.1080357142857143,0.04135437159200382,0.01651096004839396
CISI,boolean,none,pivoted,0.12232142857142857,0.040708407596568554,0.020305157053134033
CISI,boolean,none,byte,0.059821428571428574,0.018352120471720215,0.006398449420328537
CISI,log_avg,standard,none,0.17946428571428572,0.07970086082868888,0.0499617349087257
CISI,log_avg,standard,cosine,0.20357142857142857,0.07855436633246578,0.05533969942233872
CISI,log_avg,standard,pivoted,0.18392857142857144,0.07110791516868706,0.053279286005655964
CISI,log_avg,standard,byte,0.1142857142857143,0.045237357783371616,0.028873276680964753
CISI,log_avg,probabilistic,none,0.17589285714285713,0.07985280509435154,0.05192455214452329
CISI,log_avg,probabilistic,cosine,0.1901785714285714,0.07561648735526175,0.054377533075685346
CISI,log_avg,probabilistic,pivoted,0.14821428571428572,0.05939836373794337,0.02587644626472923
CISI,log_avg,probabilistic,byte,0.1142857142857143,0.045491571246371314,0.029764017304991917
CISI,log_avg,none,none,0.14107142857142857,0.0491280044447307,0.028587164185942166
CISI,log_avg,none,cosine,0.13392857142857142,0.04744160622564507,0.029571189183092098
CISI,log_avg,none,pivoted,0.09910714285714285,0.03270127766698377,0.01861939791842556
CISI,log_avg,none,byte,0.07053571428571428,0.0202037836579948,0.009310009702376871
CISI,logarithmic,standard,none,0.18928571428571428,0.08045167085178133,0.04862439087831567
CISI,logarithmic,standard,cosine,0.20625000000000002,0.0818879324123756,0.05943589790621182
CISI,logarithmic,standard,pivoted,0.19375,0.08143510284686133,0.050518515462698296
CISI,logarithmic,standard,byte,0.125,0.049547884160985003,0.031014341158487915
CISI,logarithmic,probabilistic,none,0.18660714285714283,0.07927828964510095,0.04962708722215924
CISI,logarithmic,probabilistic,cosine,0.19642857142857142,0.07994526323456812,0.05710127870248162
CISI,logarithmic,probabilistic,pivoted,0.19017857142857145,0.0818683784545915,0.0504552753843336
CISI,logarithmic,probabilistic,byte,0.12767857142857145,0.04843421740132282,0.03204943517857422
CISI,logarithmic,none,none,0.15267857142857144,0.05107074803549389,0.031093480942219292
CISI,logarithmic,none,cosine,0.14732142857142858,0.05260564224651439,0.03188575539921667
CISI,logarithmic,none,pivoted,0.14107142857142857,0.04579144129415145,0.02984753132261206
CISI,logarithmic,none,byte,0.07321428571428572,0.02052194782984511,0.010335969560474948
cran,natural,standard,none,0.007999999999999998,0.005350588109208798,0.0019143170579952189
cran,natural,standard,cosine,0.0071111111111111115,0.004629208339553167,0.0016268470931853527
cran,natural,standard,pivoted,0.008444444444444444,0.005646884405505095,0.0019788673225454834
cran,natural,standard,byte,0.0071111111111111115,0.003924254034598862,0.0016187055005445808
cran,natural,probabilistic,none,0.008444444444444445,0.0058354365940572845,0.001975286246320729
cran,natural,probabilistic,cosine,0.0071111111111111115,0.004629208339553167,0.0016428082924798853
cran,natural,probabilistic,pivoted,0.008444444444444445,0.0058354365940572845,0.0019541222251567084
cran,natural,probabilistic,byte,0.0071111111111111115,0.003924254034598862,0.001543688665527746
cran,natural,none,none,0.007555555555555557,0.005927383982556397,0.0019492202524714838
cran,natural,none,cosine,0.007555555555555555,0.005298356305252857,0.0017980711011909697
cran,natural,none,pivoted,0.007555555555555557,0.005927383982556397,0.0019492202524714838
cran,natural,none,byte,0.0071111111111111115,0.004122791129687681,0.0012365819110646697
cran,augmented,standard,none,0.008000000000000002,0.005975711134331824,0.0022268432915176213
cran,augmented,standard,cosine,0.008000000000000002,0.006099688306584858,0.0022454887641094536
cran,augmented,standard,pivoted,0.007555555555555557,0.00557167073029142,0.0023407573269642237
cran,augmented,standard,byte,0.0071111111111111115,0.006132482587655002,0.0018049646649646648
cran,augmented,probabilistic,none,0.007555555555555557,0.0054531522117729015,0.0020558223726039816
cran,augmented,probabilistic,cosine,0.0071111111111111115,0.005625614232510783,0.0021192147826630584
cran,augmented,probabilistic,pivoted,0.007555555555555557,0.00557167073029142,0.0023091139086541383
cran,augmented,probabilistic,byte,0.0071111111111111115,0.006132482587655002,0.0017781323614656946
cran,augmented,none,none,0.008,0.00453250733940389,0.0016495902465634264
cran,augmented,none,cosine,0.008444444444444444,0.0046982700568907465,0.001562725411384415
cran,augmented,none,pivoted,0.008,0.0051435603987328125,0.0015830176975004562
cran,augmented,none,byte,0.006222222222222223,0.0045695295764261274,0.0012522739970605324
cran,boolean,standard,none,0.008,0.006137327295947986,0.0023637679476759934
cran,boolean,standard,cosine,0.008444444444444445,0.006503728710625263,0.0024926574319677763
cran,boolean,standard,pivoted,0.008,0.006137327295947986,0.0025985379796874047
cran,boolean,standard,byte,0.008444444444444445,0.007203189658362073,0.0022030911617118513
cran,boolean,probabilistic,none,0.007555555555555557,0.005984070590967143,0.0021993084650555918
cran,boolean,probabilistic,cosine,0.007555555555555557,0.0061726942278666425,0.002296573992206176
cran,boolean,probabilistic,pivoted,0.007555555555555557,0.005733286891907582,0.0025903609715103963
cran,boolean,probabilistic,byte,0.008444444444444445,0.007203189658362073,0.0020250264422678214
cran,boolean,none,none,0.007555555555555557,0.004769832976729529,0.0017498689372416796
cran,boolean,none,cosine,0.006666666666666667,0.0036604435156159295,0.001300636210674525
cran,boolean,none,pivoted,0.007999999999999998,0.006032449287621701,0.0015777385605738098
cran,boolean,none,byte,0.006666666666666667,0.00511142956660198,0.0011509175643631033
cran,log_avg,standard,none,0.008444444444444445,0.005389295251364217,0.0022285511565205054
cran,log_avg,standard,cosine,0.0071111111111111115,0.004690584000928829,0.0017570029799914859
cran,log_avg,standard,pivoted,0.008,0.005236038546383374,0.0020921851243690323
cran,log_avg,standard,byte,0.006222222222222222,0.004162040768937321,0.0014562825323635393
cran,log_avg,probabilistic,none,0.008000000000000002,0.005018924880993847,0.002197311926047558
cran,log_avg,probabilistic,cosine,0.006222222222222223,0.004359549518170208,0.001638914597535287
cran,log_avg,probabilistic,pivoted,0.008,0.005236038546383374,0.0020890853434914736
cran,log_avg,probabilistic,byte,0.006222222222222222,0.004162040768937321,0.0014745083751214018
cran,log_avg,none,none,0.007555555555555557,0.004523753130649682,0.0015668197601421466
cran,log_avg,none,cosine,0.008444444444444445,0.004824195982816673,0.0015403066608430593
cran,log_avg,none,pivoted,0.006222222222222223,0.003987620042792456,0.0013083546650596459
cran,log_avg,none,byte,0.006222222222222222,0.003236667291839705,0.0010009889925598737
cran,logarithmic,standard,none,0.008000000000000002,0.005462301172646,0.0022807138710586984
cran,logarithmic,standard,cosine,0.008,0.005900290258910949,0.002202862118724188
cran,logarithmic,standard,pivoted,0.008000000000000002,0.005462301172646,0.0022998496735278343
cran,logarithmic,standard,byte,0.006666666666666667,0.004566081172977724,0.001658688803746275
cran,logarithmic,probabilistic,none,0.0071111111111111115,0.004687890398235226,0.0021684804254919194
cran,logarithmic,probabilistic,cosine,0.007555555555555557,0.0057225124811331705,0.002164589518612507
cran,logarithmic,probabilistic,pivoted,0.0071111111111111115,0.004687890398235226,0.0021832952403067346
cran,logarithmic,probabilistic,byte,0.006222222222222222,0.004388303395199947,0.0016411735148024148
cran,logarithmic,none,none,0.006666666666666667,0.004440530095702509,0.001470409624432613
cran,logarithmic,none,cosine,0.008888888888888889,0.00459226750261233,0.0016161615424450672
cran,logarithmic,none,pivoted,0.0071111111111111115,0.004782410437582851,0.0013652603703944702
cran,logarithmic,none,byte,0.005333333333333333,0.0029082549634273777,0.0008279212486109038
npl,natural,standard,none,0.24516129032258066,0.1721897661566006,0.08635388911962832
npl,natural,standard,cosine,0.23978494623655916,0.15259327865129854,0.09248468579737366
npl,natural,standard,pivoted,0.2451612903225806,0.1720622752770059,0.08664039051276634
npl,natural,standard,byte,0.12365591397849461,0.08827369083970481,0.041750179660072065
npl,natural,probabilistic,none,0.24193548387096775,0.17154634869215055,0.08546812815085444
npl,natural,probabilistic,cosine,0.23548387096774195,0.15099618637857634,0.09069070829385167
npl,natural,probabilistic,pivoted,0.24301075268817202,0.17157260678292474,0.08564834097036897
npl,natural,probabilistic,byte,0.12365591397849461,0.08833400239195184,0.041826487942252875
npl,natural,none,none,0.1827956989247312,0.1041294147542807,0.0582665744785192
npl,natural,none,cosine,0.23870967741935484,0.13740906328219007,0.08153978146864496
npl,natural,none,pivoted,0.1817204301075269,0.10394716580221218,0.05778227681680218
npl,natural,none,byte,0.08709677419354839,0.056138208373750324,0.021637303821390223
npl,augmented,standard,none,0.31075268817204305,0.1906578505624977,0.1302271904739202
npl,augmented,standard,cosine,0.21612903225806454,0.13100126748300425,0.07370384758407458
npl,augmented,standard,pivoted,0.3172043010752688,0.192411944837095,0.1327113365451897
npl,augmented,standard,byte,0.08494623655913978,0.041248772852146974,0.01991410833371969
npl,augmented,probabilistic,none,0.31075268817204305,0.19041837677463685,0.12987508783588714
npl,augmented,probabilistic,cosine,0.21290322580645166,0.12884646290884483,0.07134227647737651
npl,augmented,probabilistic,pivoted,0.31505376344086017,0.19237165767373635,0.1319809347771076
npl,augmented,probabilistic,byte,0.08387096774193548,0.04097306289901766,0.01984677309136729
npl,augmented,none,none,0.31397849462365596,0.18508577202720286,0.1195282560320438
npl,augmented,none,cosine,0.22150537634408604,0.13402827119030478,0.07215492024296011
npl,augmented,none,pivoted,0.3247311827956989,0.19006186401221,0.12508513628463855
npl,augmented,none,byte,0.05483870967741934,0.023017634780252916,0.01221140669587387
npl,boolean,standard,none,0.3182795698924732,0.19187619943445214,0.12377938880056041
npl,boolean,standard,cosine,0.20322580645161292,0.12122116709072325,0.057693875947758294
npl,boolean,standard,pivoted,0.3204301075268818,0.19526181614800067,0.12448168987871436
npl,boolean,standard,byte,0.08924731182795698,0.043482491086420924,0.023023886627235732
npl,boolean,probabilistic,none,0.31720430107526887,0.19146132020943077,0.12429409944826532
npl,boolean,probabilistic,cosine,0.20107526881720433,0.12025342515523936,0.05702068787089731
npl,boolean,probabilistic,pivoted,0.3161290322580646,0.19338397994337625,0.12362061810687545
npl,boolean,probabilistic,byte,0.08924731182795698,0.04429428335754744,0.023046034494580987
npl,boolean,none,none,0.2946236559139785,0.17074686641862147,0.10132719711087669
npl,boolean,none,cosine,0.19784946236559142,0.1229745389310734,0.0581341727073974
npl,boolean,none,pivoted,0.278494623655914,0.1579425014544697,0.09838514177701226
npl,boolean,none,byte,0.06344086021505375,0.028133733683336902,0.01425547115612266
npl,log_avg,standard,none,0.3043010752688172,0.19874858113550117,0.12475271459172288
npl,log_avg,standard,cosine,0.23440860215053763,0.14457821894080666,0.08595192529782912
npl,log_avg,standard,pivoted,0.3043010752688172,0.196284793429778,0.12177420392283514
npl,log_avg,standard,byte,0.10215053763440858,0.05859734856803857,0.025966486282981274
npl,log_avg,probabilistic,none,0.30107526881720426,0.19768277379339647,0.12298867907513897
npl,log_avg,probabilistic,cosine,0.23118279569892478,0.1415995846718498,0.08394628112010827
npl,log_avg,probabilistic,pivoted,0.30107526881720437,0.19433915841962685,0.12088947803654286
npl,log_avg,probabilistic,byte,0.1043010752688172,0.0607226794510908,0.026211819510469615
npl,log_avg,none,none,0.26559139784946234,0.1506620130890801,0.09507321109806739
npl,log_avg,none,cosine,0.23548387096774195,0.13557868373222953,0.0781891817660967
